承認番号,販売名,原始主成分,標準化成分,同義詞,drugbank_id,映射成功
620537002,クロルマジノン酢酸エステル錠２５ｍｇ「日新」,クロルマジノン酢酸エステル錠２５ｍｇ,クロルマジノン酢酸エステル錠２５ＭＧ,,,False
620537101,プロスタールＬ錠５０ｍｇ,ﾌﾟﾛｽﾀｰﾙL,ﾌﾟﾛｽﾀｰﾙL,,,False
620537802,メドロキシプロゲステロン酢酸エステル錠２．５ｍｇ「Ｆ」,メドロキシプロゲステロン酢酸エステル錠２．５ｍｇ,メドロキシプロゲステロン酢酸エステル錠２．５ＭＧ,,,False
620537901,プロベラ錠２．５ｍｇ,メドロキシプロゲステロン酢酸エステル錠２．５ｍｇ,メドロキシプロゲステロン酢酸エステル錠２．５ＭＧ,,,False
620538201,メドロキシプロゲステロン酢酸エステル錠５ｍｇ「Ｆ」,メドロキシプロゲステロン酢酸エステル錠５ｍｇ,メドロキシプロゲステロン酢酸エステル錠５ＭＧ,,,False
620538401,メドロキシプロゲステロン酢酸エステル錠２００ｍｇ「Ｆ」,メドロキシプロゲステロン酢酸エステル錠２００ｍｇ,メドロキシプロゲステロン酢酸エステル錠２００ＭＧ,,,False
620542301,カリジノゲナーゼ錠２５単位「日医工」,カリジノゲナーゼ錠２５単位,カリジノゲナーゼ錠２５単位,,,False
620543301,カリジノゲナーゼ錠２５単位「サワイ」,カリジノゲナーゼ錠２５単位,カリジノゲナーゼ錠２５単位,,,False
620543801,カリジノゲナーゼ錠５０単位「日医工」,カリジノゲナーゼ錠５０単位,カリジノゲナーゼ錠５０単位,,,False
620544301,カリジノゲナーゼ錠５０単位「サワイ」,カリジノゲナーゼ錠５０単位,カリジノゲナーゼ錠５０単位,,,False
620544805,カリジノゲナーゼ錠５０単位「ＮＩＧ」,カリジノゲナーゼ錠５０単位,カリジノゲナーゼ錠５０単位,,,False
620551901,セキソビット錠１００ｍｇ,ｾｷｿﾋﾞｯﾄ,ｾｷｿﾋﾞｯﾄ,,,False
620553801,ジノプロスト注射液１０００μｇ「Ｆ」　１ｍｇ１ｍＬ,ｼﾞﾉﾌﾟﾛｽﾄ,ｼﾞﾉﾌﾟﾛｽﾄ,,,False
620554201,ジノプロスト注射液２０００μｇ「Ｆ」　２ｍｇ２ｍＬ,ｼﾞﾉﾌﾟﾛｽﾄ,ｼﾞﾉﾌﾟﾛｽﾄ,,,False
620555101,リュープリン注射用３．７５ｍｇ　（懸濁用液付）,ﾘｭｰﾌﾟﾘﾝ,ﾘｭｰﾌﾟﾘﾝ,,,False
620555201,リュープリン注射用１．８８ｍｇ　（懸濁用液付）,ﾘｭｰﾌﾟﾘﾝ,ﾘｭｰﾌﾟﾘﾝ,,,False
620555301,リュープリン注射用キット１．８８ｍｇ,ﾘｭｰﾌﾟﾘﾝ,ﾘｭｰﾌﾟﾘﾝ,,,False
620555401,リュープリン注射用キット３．７５ｍｇ,ﾘｭｰﾌﾟﾘﾝ,ﾘｭｰﾌﾟﾘﾝ,,,False
620555802,ブセレリン点鼻液０．１５％「ＩＬＳ」　１５．７５ｍｇ１０ｍＬ,ブセレリン酢酸塩点鼻液０．１５％,ブセレリン酢酸塩点鼻液０．１５％,,,False
620556801,ウロマチックＳ泌尿器科用灌流液３％　３Ｌ,ｳﾛﾏﾁｯｸSﾋﾆｮｳｷｶﾖｳｶﾝﾘｭｳ,ｳﾛﾏﾁｯｸSﾋﾆｮｳｷｶﾖｳｶﾝﾘｭｳ,,,False
620557001,クロマイ腟錠１００ｍｇ,ｸﾛﾏｲﾁﾂ,ｸﾛﾏｲﾁﾂ,,,False
620557101,クロラムフェニコール腟錠１００ｍｇ「Ｆ」,ｸﾛﾗﾑﾌｪﾆｺｰﾙﾁﾂ,ｸﾛﾗﾑﾌｪﾆｺｰﾙﾁﾂ,,,False
620557901,クロトリマゾール腟錠１００ｍｇ「Ｆ」,クロトリマゾール腟錠１００ｍｇ,クロトリマゾール腟錠１００ＭＧ,CLOTRIMAZOLE,DB00257,True
620558501,チニダゾール腟錠２００ｍｇ「Ｆ」,チニダゾール腟錠２００ｍｇ,チニダゾール腟錠２００ＭＧ,,,False
620558901,イソコナゾール硝酸塩腟錠１００ｍｇ「Ｆ」,イソコナゾール硝酸塩腟錠１００ｍｇ,イソコナゾール硝酸塩腟錠１００ＭＧ,,,False
620559001,アデスタン腟錠３００ｍｇ,イソコナゾール硝酸塩腟錠３００ｍｇ,イソコナゾール硝酸塩腟錠３００ＭＧ,,,False
